date	jour	mois	année	Pas-de-Calais.(62)	Gironde.(33)
42208	23	7	2015	17.1145833333333	21.725
42209	24	7	2015	19.625	21.4
42210	25	7	2015	15.1416666666667	19.6458333333333
42211	26	7	2015	13.58125	20.0375
42212	27	7	2015	16.2583333333333	20.2833333333333
42213	28	7	2015	15.45	20.4416666666667
42214	29	7	2015	14.70625	18.7333333333333
42215	30	7	2015	14.1291666666667	18.9458333333333
42216	31	7	2015	15.1166666666667	16.3625
42217	1	8	2015	16.4208333333333	20.0416666666667
42218	2	8	2015	18.8875	23.0125
42219	3	8	2015	21.81875	24.3708333333333
42220	4	8	2015	17.6541666666667	20.9333333333333
42221	5	8	2015	19.7416666666667	23.5041666666667
42222	6	8	2015	18.58125	23.4541666666667
42223	7	8	2015	18.80625	21.7166666666667
42224	8	8	2015	19.1729166666667	16.5791666666667
42225	9	8	2015	19.1	18.4166666666667
42226	10	8	2015	18.79375	21.4541666666667
42227	11	8	2015	18.95	24.6
42228	12	8	2015	22.2666666666667	26.2416666666667
42229	13	8	2015	21.6958333333333	20.65
42230	14	8	2015	20.475	17.525
42231	15	8	2015	16.7395833333333	17.7875
42232	16	8	2015	16.4270833333333	17.0833333333333
42233	17	8	2015	14.5479166666667	19.3208333333333
42234	18	8	2015	15.1583333333333	18.5666666666667
42235	19	8	2015	18.0020833333333	18.6333333333333
42236	20	8	2015	18.0354166666667	21.7083333333333
42237	21	8	2015	21.775	24.4
42238	22	8	2015	22.9895833333333	23.3291666666667
42239	23	8	2015	18.2958333333333	19.8458333333333
42240	24	8	2015	16.025	18.8166666666667
42241	25	8	2015	16.3583333333333	19.5083333333333
42242	26	8	2015	19.8270833333333	22.7166666666667
42243	27	8	2015	14.5262295081967	23.8083333333333
42244	28	8	2015	15.8180555555556	24.875
42245	29	8	2015	18.45	27.2166666666667
42246	30	8	2015	21.9	27.0708333333333
42247	31	8	2015	19.1416666666667	24.1333333333333
42248	1	9	2015	16.0097222222222	19.4333333333333
42249	2	9	2015	13.9555555555556	18.1583333333333
42250	3	9	2015	13.1819444444444	17.8333333333333
42251	4	9	2015	13.4736111111111	15.1625
42252	5	9	2015	13.6125	15.9583333333333
42253	6	9	2015	12.4527777777778	16.7708333333333
42254	7	9	2015	13.3430555555556	17.5818181818182
42255	8	9	2015	14.6055555555556	16.8625
42256	9	9	2015	15.5208333333333	18.3166666666667
42257	10	9	2015	15.5319444444444	19.9020833333333
42258	11	9	2015	15.8444444444444	19.0510638297872
42259	12	9	2015	15.7986111111111	18.99375
42260	13	9	2015	11.5083333333333	18.0914893617021
42261	14	9	2015	13.8583333333333	16.3041666666667
42262	15	9	2015	13.3416666666667	16.65
42263	16	9	2015	15.6027777777778	21.5083333333333
